id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-07-04T03:21:04;Loop;CANCELLED;PAYPAL;2022-07-03T21:41:29;22604
2;calculating;2022-07-04T03:49:27;haptic 1080p;ISSUED;PAYPAL;2022-07-03T15:03:07;10489
3;national Frozen Berkshire;2022-07-04T04:04:17;Account Borders Home;PAID;CREDIT_CARD;2022-07-03T18:47:08;36325
4;monitor;2022-07-03T14:06:53;parse intuitive Division;CANCELLED;PAYPAL;2022-07-03T15:41:54;13687
5;synergy transmitting;2022-07-03T14:09:08;parse Gloves;ISSUED;PAYPAL;2022-07-03T22:45:46;92472
6;function;2022-07-03T19:02:36;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-07-04T06:09:37;26944
7;Maine;2022-07-04T05:28:59;RAM;ISSUED;PAYPAL;2022-07-04T10:30:51;32458
8;Analyst Agent;2022-07-04T09:23:41;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-07-04T06:25:23;79389
9;Salad;2022-07-03T15:32:23;Gorgeous;ISSUED;CREDIT_CARD;2022-07-04T00:18:47;62169
10;Pants Wooden Intuitive;2022-07-04T00:56:20;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-07-03T20:50:57;58737
